"NAME:","run_122_2_1.csv"
"EXPERIMENT TIME:","16/03/2024 00:09:17"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","166"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"20.57","-9.45","20.0","-0.67","1.67","-1.59","-0.62"
"20.64","-0.67","17.1","1.02","0.86","-2.23","0.82"
"20.71","1.14","0.78","-2.94","1.24","-1.88","0.87"
"20.77","-2.00","-1.33","1.84","-0.12","0.03","0.77"
"20.82","-0.55","-4.55","-5.73","0.68","-1.12","-0.25"
"20.89","7.96","20.0","-9.69","3.29","-2.10","-1.50"
"20.96","-6.24","17.7","3.45","-1.93","3.10","-0.37"
"21.02","0.35","14.9","-1.41","-1.55","0.32","-2.39"
"21.07","-5.73","-3.26","-2.86","1.29","4.16","-0.33"
"21.14","-2.55","-4.24","3.14","0.83","-0.11","0.37"
"21.21","-2.71","0.51","-1.73","-0.35","-1.60","2.34"
"21.27","-6.94","14.6","18.7","0.37","-2.27","3.05"
"21.32","-0.39","20.0","5.10","-0.43","-2.65","-0.64"
"21.40","-1.61","7.18","-0.90","0.70","-1.64","0.94"
"21.46","6.98","-7.53","-3.77","1.90","-0.35","0.14"
"21.52","-4.71","0.86","4.12","-0.05","-0.83","0.89"
"21.59","-20.0","14.8","19.1","-4.64","2.44","-1.41"
"21.71","-4.16","8.59","2.31","-2.18","2.26","-1.26"
"21.77","3.10","8.24","-6.08","0.12","-0.01","-2.47"
"21.84","-15.6","-7.14","13.8","-0.35","4.58","-0.28"
"21.90","-0.63","2.67","-3.02","0.56","-1.44","1.26"
"21.96","-20.0","20.0","17.6","-3.40","0.13","2.49"
"22.02","-4.04","20.0","6.75","-0.30","-1.25","-1.36"
"22.09","-1.77","12.4","3.92","-0.12","-1.28","1.41"
"22.15","5.18","-4.16","-6.90","2.21","-2.11","0.35"
"22.21","-4.47","0.82","2.94","0.04","0.21","0.98"
"22.27","-0.67","-2.67","-6.24","1.20","-0.65","-1.00"
"22.34","6.59","19.5","-9.49","2.19","-2.74","-1.25"
"22.40","-6.79","17.3","4.55","-2.82","4.18","-0.56"
"22.47","-0.67","17.6","-2.16","-0.72","-0.10","-2.46"
"22.52","-8.28","-6.51","-1.69","1.52","4.44","0.62"
"22.66","-3.84","-0.04","0.51","-0.77","-0.47","1.94"
"22.72","-11.7","10.9","2.04","2.60","-2.08","0.47"
"22.77","-2.79","20.0","6.08","-0.21","-2.30","0.02"
"22.84","-0.51","6.51","-3.14","0.57","-2.64","0.92"
"22.91","5.77","-5.61","-2.12","0.98","0.89","0.13"
"22.97","-5.14","-0.94","2.08","0.21","-0.34","0.73"
"23.02","-20.0","20.0","20.0","-4.62","2.19","-1.80"
"23.09","-0.51","20.0","9.18","0.08","0.89","-0.68"
"23.16","-7.26","10.5","4.47","-2.39","3.10","-2.30"
"23.22","4.47","9.45","-9.61","0.54","-0.66","-2.54"
"23.29","-12.8","-6.59","13.6","-0.93","4.68","0.18"
"23.34","-1.02","2.51","-1.10","0.06","-0.40","1.75"
"23.41","-13.0","11.7","20.0","-3.34","0.21","4.57"
"23.48","-2.28","20.0","3.80","-0.25","-3.43","-1.88"
"23.59","5.14","-5.69","-5.22","1.91","-2.07","0.28"
"23.66","-5.14","-0.08","3.41","-0.24","0.72","0.88"
"23.73","-6.32","3.37","-0.51","-0.68","0.00","-1.55"
"23.79","14.3","20.0","-13.4","3.06","-3.65","-0.67"
"23.84","-7.06","16.2","1.57","-1.96","2.23","-0.63"
"23.91","2.39","12.4","-4.12","-0.29","-0.70","-2.80"
"23.98","-13.8","-5.53","10.6","0.58","4.97","0.18"
"24.04","0.43","0.59","-3.14","0.63","-1.01","1.06"
"24.09","-15.2","20.0","6.63","-2.56","0.32","1.56"
"24.16","-10.0","20.0","-1.69","0.98","-1.82","-1.92"
"24.23","-1.26","18.0","0.82","0.58","-3.19","0.82"
"24.29","1.92","-0.08","-4.98","1.08","-2.34","0.57"
"24.36","-2.24","-0.16","0.78","0.22","-0.13","0.81"
"24.41","-1.41","-5.26","-7.96","1.13","-0.85","-0.41"
"24.48","7.06","19.8","0.75","-1.67","3.33","-0.32"
"24.55","-4.67","18.8","12.8","-1.51","3.53","-1.02"
"24.61","-3.73","10.5","1.18","-1.70","2.12","-1.10"
"24.66","-3.92","-0.04","-4.12","0.37","3.25","-1.29"
"24.73","-5.49","-4.63","3.33","-0.15","0.84","-0.67"
"24.8","-2.63","2.20","1.37","-1.69","-0.76","1.92"
"24.86","-12.5","11.6","-0.31","1.65","-1.18","1.00"
"24.91","-3.06","20.0","3.88","-0.06","-2.28","0.11"
"24.99","-2.04","6.51","0.86","-0.13","-1.75","0.97"
"25.05","5.96","-7.37","-2.67","1.95","-0.14","0.79"
"25.11","-6.16","1.14","3.88","0.35","0.18","0.94"
"25.18","-11.2","17.6","20.0","-1.34","0.60","-1.96"
"25.24","10.4","20.0","-7.53","2.09","-3.06","-0.67"
"26.42","-0.16","5.96","-2.63","0.52","-2.28","0.85"
"26.49","6.28","-8.04","0.00","2.20","0.57","0.71"
"26.56","-7.18","0.94","8.28","-0.16","0.47","1.57"
"27.43","-5.33","19.0","-2.08","-2.37","2.85","-0.30"
"27.49","1.14","14.7","-2.55","-1.30","0.43","-2.57"
"27.56","-12.9","-9.53","1.96","1.22","4.96","0.42"
"27.63","0.78","-0.71","-2.24","1.54","-1.28","-0.61"
"27.68","-1.45","0.67","-0.43","-1.02","-0.83","2.10"
"27.74","-8.12","15.0","16.4","2.71","-0.95","3.19"
"27.82","-0.78","20.0","3.30","-0.45","-1.93","0.14"
"27.88","-0.94","7.49","-0.16","0.61","-0.68","1.41"
"27.93","4.82","-7.18","-2.86","1.12","-1.04","0.61"
