"NAME:","walk_126_2_1.csv"
"EXPERIMENT TIME:","24/03/2024 15:41"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","70"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"43.15","-0.43","-4.00","-7.49","1.04","-2.61","-1.69"
"43.26","1.88","0.43","-10.16","1.55","-1.17","1.44"
"43.36","-1.06","-2.28","-7.37","0.11","-1.56","-0.46"
"43.46","-0.71","-1.06","-8.90","0.61","-0.94","-2.24"
"43.56","4.20","-4.43","-11.85","0.55","-0.78","0.36"
"43.66","1.10","6.00","-14.55","0.13","0.18","-3.24"
"43.76","-0.98","-17.89","-8.98","-2.85","4.72","-2.24"
"43.87","1.88","1.06","-7.37","-0.52","2.11","-2.06"
"43.97","1.33","2.39","-6.00","-0.60","0.48","1.65"
"44.07","-1.29","-4.90","-4.67","-1.34","-1.43","-0.04"
"44.17","16.36","0.82","-15.73","0.11","4.02","0.17"
"44.28","-7.37","-5.92","-8.39","-0.18","0.02","-1.25"
"44.38","-2.43","-1.80","-13.61","1.32","-1.69","-1.57"
"44.48","-1.53","-3.37","-7.14","1.59","-1.32","1.77"
"44.58","-0.90","-3.02","-8.83","0.04","-1.61","-0.04"
"44.68","-0.12","-1.96","-8.67","0.88","-0.94","-1.17"
"44.78","-0.51","0.51","-10.43","0.66","0.57","-1.68"
"44.89","-0.12","0.47","-16.91","-0.83","1.16","3.25"
"44.99","-2.04","-10.87","-13.06","-2.45","4.54","-3.15"
"45.09","0.12","-0.47","-7.69","-0.53","1.70","0.23"
"45.19","-1.80","-0.39","-3.06","-0.67","0.95","1.71"
"45.29","2.98","-4.04","-7.85","-1.43","-2.87","0.07"
"45.40","5.69","1.10","-8.32","-0.87","2.45","-0.81"
"45.50","20.01","-2.39","-10.08","0.77","-1.09","-0.71"
"45.60","-0.75","-0.43","-20.01","1.79","-1.58","-1.23"
"45.70","0.39","1.69","-9.77","1.41","-1.98","-0.13"
"45.81","3.02","-4.90","-8.00","0.31","-1.48","1.13"
"45.91","-0.67","-2.90","-10.16","0.54","-0.97","-0.53"
"46.01","-1.80","-2.63","-11.96","1.34","0.73","1.07"
"46.11","6.79","-1.96","-14.16","-1.33","1.35","3.58"
"46.21","6.08","-12.47","-8.75","-2.32","3.17","0.97"
"46.31","1.14","0.98","-5.06","-0.37","1.58","0.64"
"46.42","-0.35","-1.41","-2.55","-1.05","-0.10","2.84"
"46.52","-1.18","-5.18","-8.75","0.24","-3.53","0.39"
"46.62","-3.33","-2.90","-5.65","-1.46","2.41","0.71"
"46.72","-4.16","-11.57","-2.71","-0.90","1.06","1.05"
"46.83","-0.55","-3.06","-7.69","3.40","-2.51","2.15"
"46.93","-1.22","-1.14","-7.14","0.41","-1.97","-1.47"
"47.03","3.02","-7.69","-8.59","0.53","-1.16","1.46"
"47.13","-0.75","-2.04","-9.77","0.79","-0.77","-0.87"
"47.23","0.82","-1.22","-16.91","0.90","0.09","-0.50"
"47.33","-4.90","-17.73","-0.43","-2.23","3.00","-0.00"
"47.44","7.06","-7.14","-12.04","-1.71","3.42","-0.07"
"47.54","0.35","0.63","-8.16","-1.07","1.51","1.89"
"47.64","-0.55","-4.24","-4.00","-1.95","-0.33","1.50"
"47.74","20.01","11.81","-20.01","0.43","-4.01","-0.82"
"47.85","1.69","-1.45","-14.44","-0.09","-0.80","-1.00"
"47.95","-2.20","-4.51","-7.10","0.46","-1.32","-1.32"
"48.05","20.01","12.71","-9.18","1.98","-2.79","-2.39"
"48.15","-0.78","-3.02","-6.67","0.14","-1.74","0.56"
"48.25","0.55","-1.06","-6.51","0.85","-1.36","-3.54"
"48.35","2.71","-2.82","-10.47","0.52","-0.83","0.33"
"48.46","3.57","9.73","-16.20","0.00","0.72","-4.34"
"48.56","-3.10","-17.10","-6.90","-1.92","3.74","4.23"
"48.66","1.18","-0.90","-9.69","-1.29","1.90","0.86"
"48.76","-0.75","0.12","-3.10","-0.79","0.23","2.07"
"48.87","-1.10","-5.10","-4.71","-0.75","-2.35","0.45"
"48.97","12.40","0.71","-7.14","-0.55","2.90","-1.86"
"49.07","2.08","-2.39","-8.43","0.62","-1.40","-0.69"
"49.17","-4.00","-3.53","-10.94","1.48","-1.09","-1.20"
"49.27","-2.12","-1.10","-14.79","1.47","-1.44","1.58"
"49.38","2.55","-3.96","-10.20","-0.26","-1.74","-0.41"
"49.48","-0.82","-2.71","-9.77","1.09","-0.53","-0.79"
"49.58","-1.41","-0.47","-10.63","1.18","0.83","0.64"
