"NAME:","walk_122_2_2.csv"
"EXPERIMENT TIME:","15/03/2024 23:35:59"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","120"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"13.33","8.71","-1.96","3.73","-0.17","0.65","0.51"
"13.40","8.51","5.96","-1.69","-0.02","0.79","-0.96"
"13.46","4.98","2.75","-1.22","-0.33","0.51","-0.31"
"13.52","6.90","1.96","-1.61","-0.46","0.20","-0.27"
"13.58","8.47","5.30","-1.80","-0.99","0.34","-0.60"
"13.65","8.43","1.92","-0.08","-0.63","0.85","-0.21"
"13.71","8.79","1.37","-0.08","-0.91","-0.12","-0.19"
"13.77","9.45","6.20","4.35","0.67","-2.84","-0.43"
"13.83","15.0","7.37","1.18","1.44","-1.64","0.02"
"13.90","8.12","0.43","-1.49","-0.06","-0.29","0.18"
"13.97","7.10","2.12","-0.98","0.77","-0.16","0.50"
"14.02","7.18","2.16","-2.24","0.25","-0.10","0.64"
"14.08","8.47","0.47","-2.94","0.54","1.16","-0.28"
"14.15","9.10","3.84","-0.75","0.86","0.60","-0.60"
"14.22","15.1","5.88","-0.71","-0.25","-0.29","0.28"
"15.52","8.39","3.57","0.35","-1.27","0.47","-0.44"
"16.54","7.77","3.33","1.61","-1.20","0.96","-0.48"
"16.60","7.65","4.08","-2.24","-0.53","0.80","-0.33"
"16.66","10.0","-1.06","-1.41","-0.86","-0.14","-0.07"
"16.72","7.92","0.55","6.71","-0.03","-0.57","-0.21"
"16.79","11.8","12.3","2.71","0.24","-2.10","-0.20"
"16.85","10.6","2.90","1.06","1.17","-1.14","-0.12"
"16.91","8.12","0.16","-2.90","0.91","-0.23","0.10"
"16.97","7.14","3.45","-1.45","0.34","-0.09","0.73"
"17.04","7.41","1.26","-3.45","0.40","0.76","0.44"
"17.11","6.43","-0.59","-4.08","1.07","0.77","-0.48"
"17.16","12.3","6.59","-3.37","0.31","-0.65","-0.32"
"17.22","17.3","11.8","6.63","-0.69","0.79","0.31"
"17.29","7.06","-0.94","-0.82","-0.71","0.68","1.19"
"17.36","10.3","5.30","-1.69","-0.09","0.19","-0.51"
"17.47","6.67","0.59","-3.33","-0.64","-0.50","-0.19"
"17.55","8.51","3.65","1.77","-1.38","1.02","-0.38"
"17.61","8.04","3.96","-2.63","-0.54","0.71","-0.35"
"17.66","9.22","-1.73","-0.86","-0.77","-0.36","-0.16"
"17.74","7.81","1.73","6.67","-0.43","-0.45","-0.05"
"17.80","12.8","9.92","1.69","0.37","-2.49","-0.25"
"17.86","11.2","4.63","0.39","1.30","-0.92","-0.17"
"17.93","6.83","-0.04","-1.80","0.51","0.28","0.23"
"17.99","6.55","3.14","-1.61","0.37","-0.23","0.71"
"18.05","7.88","0.90","-3.96","0.37","0.27","0.37"
"18.11","8.36","1.73","-2.55","1.02","0.71","-0.58"
"18.18","10.4","5.06","-4.12","0.03","-0.20","-0.16"
"18.24","16.2","9.10","2.28","-0.61","-0.31","0.80"
"18.30","7.88","-0.43","1.77","-0.14","0.90","0.87"
"18.37","9.53","5.53","-2.04","-0.01","0.65","-0.82"
"18.43","4.98","4.00","-0.24","-0.43","0.61","-0.34"
"18.49","7.30","1.69","-3.10","-0.30","-0.01","-0.28"
"18.55","8.04","4.79","-1.41","-0.93","0.42","-0.61"
"18.62","7.73","2.12","-0.47","-0.52","0.94","-0.26"
