NAME:,run1_123_3_1.csv,,,,,
EXPERIMENT TIME:,12/03/2024 16:46:15,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,90,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
16.0720,-8.83,4.00,16.12,-0.18,0.23,-0.80
16.1540,-12.20,-0.31,4.24,-0.16,-0.39,0.52
16.2360,-18.28,-3.37,5.14,0.28,-1.49,-0.15
16.3180,-6.94,-0.12,1.65,-0.10,-0.35,0.27
16.4000,0.86,1.53,0.51,-0.77,0.48,-0.08
16.4820,-6.08,2.59,10.47,-1.97,0.95,-0.22
16.5640,-18.91,-3.18,6.63,0.65,1.23,-0.06
16.6460,-11.14,-2.79,2.08,0.97,0.01,0.93
16.7280,3.53,2.94,-2.12,0.47,0.08,0.14
16.8100,-0.04,0.35,-1.65,0.03,0.81,-0.76
16.8920,-16.59,-0.98,7.18,-0.39,0.86,1.57
16.9740,-19.57,-0.59,5.84,-0.22,-1.57,-0.46
17.0560,-11.06,-4.00,4.04,0.29,-1.51,-0.46
17.1380,-1.06,-1.96,2.20,0.22,-0.03,0.45
17.2200,0.59,0.55,2.00,-0.97,0.89,-0.40
17.3020,-20.01,1.96,16.36,0.08,-0.20,-0.32
17.3840,-17.30,-4.51,5.22,0.74,0.55,0.78
17.4660,-6.08,-3.37,1.02,1.35,-0.56,0.51
17.5480,0.43,4.51,0.67,0.33,-0.32,-0.61
17.6300,-5.69,3.49,9.92,0.04,0.46,-0.94
17.7120,-12.63,-5.45,6.16,-0.75,0.17,0.84
17.7940,-20.01,-1.80,7.30,-0.17,-1.81,0.30
17.8760,-8.20,1.26,1.88,-0.05,-1.33,-0.23
17.9580,0.67,-0.59,0.35,-0.26,0.25,0.16
18.0400,-3.88,6.67,12.83,-0.89,0.64,-0.80
18.1220,-20.01,1.26,11.81,0.76,0.20,-0.39
18.2040,-16.83,-1.61,4.90,0.37,0.13,1.15
18.2860,1.80,-2.28,-4.28,1.01,-0.36,0.55
18.3680,-0.04,3.88,0.08,0.48,0.34,-0.85
18.4500,-4.16,6.86,18.79,-0.50,0.79,-0.62
18.5320,-12.87,1.80,5.10,-0.80,-0.16,0.63
18.6140,-17.61,-3.33,4.86,0.39,-1.50,-0.18
18.6960,-7.88,0.16,0.43,0.28,-0.66,0.04
18.7780,0.63,0.04,1.14,-0.79,0.20,0.05
18.8600,-5.14,4.28,10.04,-2.47,0.75,-0.06
18.9420,-19.10,-3.18,7.41,0.70,1.42,-0.17
19.0240,-12.55,-1.80,3.06,0.69,0.41,1.02
19.1060,4.63,-0.51,-4.59,0.54,-0.33,0.44
19.1880,0.59,1.69,-0.98,-0.02,0.89,-0.77
