NAME:,run_124_3_1,,,,,
EXPERIMENT TIME:,20/03/2024 10:48,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,161,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
47.940002,0.82,2.51,-4.24,-1.06,1.35,-0.63
48.039993,2.55,-9.73,0.78,-0.48,-4.02,-0.78
48.139999,9.73,20.01,8.43,0.8,-4.52,0.05
48.25,5.53,11.77,1.14,1.07,0.25,0.14
48.349991,3.1,2.04,-5.96,0.21,-0.57,0.01
48.449997,5.41,2.9,-0.39,-2.19,0.47,-0.61
48.550003,13.22,20.01,2.9,-1.18,-0.79,1.39
48.649994,5.77,11.81,-0.04,-0.09,0.42,-0.78
48.759995,-1.53,-4.12,-3.77,-0.8,-0.13,-2.35
48.860001,3.41,3.26,-6.08,-0.24,-1.61,0.2
48.959991,16.24,20.01,-5.61,1.85,-2.16,0.95
49.059998,2,8.75,3.41,-0.04,-0.33,0.46
49.160004,1.41,2.16,-1.69,-0.62,-1.77,-0.16
49.259995,6.75,2.71,-2.39,-1.49,-1.09,-0.14
49.369995,9.85,20.01,8.43,1.59,-0.46,0.91
49.470001,0.12,3.73,1.41,1.33,1.4,-1.74
49.569992,0.31,-3.96,-5.84,-0.95,-1.77,-0.95
49.669998,3.96,7.22,-3.14,-0.62,-0.96,-0.39
49.770004,9.85,20.01,-6.86,0.36,-0.2,-0.12
49.880005,0.86,4.12,5.3,1.01,-1.15,0.56
49.979996,1.18,2.31,-2.59,-0.23,-1.78,-0.12
50.080002,-2.9,20.01,9.77,-0.59,0.53,1.98
50.179993,2.59,11.34,0.86,-0.81,0.47,0.87
50.289993,0.82,-17.89,0.31,-2.59,-1.26,-2.26
50.389999,6.63,7.53,-14.87,0.17,0.25,-0.44
50.490005,8.51,13.57,4.31,-0.16,-1.93,-0.7
50.589996,7.3,13.18,1.84,3.66,1.38,2.4
50.689987,0.82,4.59,-5.14,-0.17,0.65,-0.19
50.800003,12.91,20.01,-5.33,-1.76,0.87,-0.26
50.900009,4.35,12.79,4.94,0.46,1.33,-0.37
50.999985,2.04,-11.73,-1.22,-2.59,-0.04,-2.26
51.099991,-1.37,15.18,-2.16,0.28,0.95,0.4
51.199997,14.47,18.48,-4.16,1.26,-2.73,-0.02
51.300003,2.16,14.2,2.9,3.44,0.89,1.72
51.409988,6.63,6.55,-5.3,-0.57,-0.94,0.87
51.509995,13.49,5.88,-18.24,-1.45,2.74,-0.84
51.610001,7.85,20.01,8.75,-1.59,-1.18,0.05
51.710007,1.1,-13.06,-7.06,-0.71,-1.53,-0.49
51.810013,2.43,3.41,-4.63,2.01,1.53,0.55
51.919998,19.93,5.22,-20.01,-0.7,1.3,-1.17
52.020004,0.31,5.49,-3.84,0.11,1.25,1.27
52.12001,0.12,3.96,-5.37,1.85,-0.03,-0.61
52.219986,2.35,1.26,-5.61,-1.4,-0.01,-1.36
52.319992,12.2,20.01,-4.35,-2.99,-2.94,2.85
52.430008,9.26,19.89,-4.12,0.82,0.96,0.69
52.529984,-1.02,-3.33,-7.18,-1.3,2.1,-0.69
52.62999,1.18,5.1,2.79,0.08,-0.29,1.12
52.729996,14.91,20.01,-7.18,4.35,-0.28,0.91
52.840012,1.84,9.3,-1.18,1.67,-0.41,1.75
53.139999,10.51,19.81,8.39,-0.44,1.38,-0.52
53.449997,5.49,12.98,-9.92,-2.59,-2.86,-0.43
53.550003,10.51,20.01,12.67,0.95,-2.02,1.18
53.650009,1.69,4.39,-1.29,1.56,-0.74,0.35
56.300003,-0.86,-8.16,2,-1.05,0.6,-0.66
56.400009,-0.24,2.2,-4.47,0.36,0.34,-0.3
56.509995,3.26,20.01,17.26,1.6,-4.87,0.77
56.810013,-0.9,-2.43,-5.22,-0.75,0.84,-1.19
56.919998,5.84,20.01,-5.92,-1.27,0.66,0.24
57.020004,5.41,13.77,-0.04,0.02,1.09,-0.41
57.12001,-0.9,-4.04,-6.08,1.13,0.34,-1.06
57.219986,1.45,2.79,-10.4,-0.87,-0.81,0.89
57.319992,13.3,20.01,11.22,4.58,-3.41,1.33
57.419998,7.22,5.53,-10.63,4.07,2.08,-1.3
57.529984,0.82,6.55,-4.47,1.87,-0.06,0.25
57.62999,8.47,9.65,-20.01,-1.14,1.77,0.03
57.729996,10.63,13.38,-0.35,-1.2,0.99,0.14
57.830002,-1.92,3.69,-4.59,-0.16,2.49,-2.24
57.930008,1.73,-3.02,2.24,0.4,-1.87,0.12
58.039993,2.86,11.61,-18.01,-0.85,-2.29,1.02
58.139999,4.08,16.75,-4.31,1.87,0.97,0.89
58.240005,-1.45,0.51,-2.9,0.53,0.36,0.16
58.340012,2.24,1.18,-4.04,-1.85,-1.74,-0.63
58.439987,4.08,17.42,6,-3.34,-1.86,1.53
58.550003,-1.02,7.18,-3.18,1.08,1.76,-2.77
58.650009,0,-2.31,-4.28,-1.51,-1.75,-0.78
58.749985,4.47,6.9,-8,-0.48,-1.54,0.45
58.849991,4.9,20.01,-7.02,-0.66,0.06,0.88
58.960007,2.28,3.45,-0.94,0.24,-0.71,0.3
59.060013,1.18,0.35,-2.67,-1.78,-2.15,-0.19
59.159988,8.9,20.01,-5.45,-0.15,2.92,1.3
59.259995,1.41,8.79,-3.14,1.17,3.15,-1.7
59.360001,0.27,-3.3,-5.84,-1.26,-1.41,-1.17
59.469986,7.85,6.08,-5.45,-0.84,-2.51,0.08
59.569992,1.45,20.01,0.12,0.69,-1.87,0.61
59.669998,2.63,6.9,-5.49,1.17,-0.46,1.43
59.770004,-0.63,-1.26,-1.96,-0.79,-1.1,-0.3
59.87001,5.06,18.91,-6,-0.83,1.22,0.37
59.979996,3.8,11.38,1.1,0.07,0.56,-0.82
60.080002,-2.55,4.67,-0.78,-0.05,-0.89,-0.92
60.279984,5.77,19.89,-11.65,2.25,-1.4,0.37
60.37999,2.82,9.26,-2.43,1.14,-0.3,0.15
60.479996,0.63,-1.18,-4.82,0.17,0.57,-1.21
60.590012,2.98,5.96,-5.88,-2.25,-1.02,-0.17
60.689987,8.39,20.01,-0.35,-0.15,0.82,1.01
60.789993,-0.75,5.26,0.04,0.7,1.62,-1.25
60.889999,-1.18,-4.04,-1.18,-2.66,-2.08,-1.3
60.999985,3.41,8.87,-0.75,-0.74,-1.9,-0.19
61.099991,2.63,19.69,-0.9,1.53,-1.38,0.15
61.199997,2.82,9.96,-0.63,2.11,-0.63,0.92
61.300003,-0.04,0.16,-3.73,-0.48,-0.02,-0.68
61.400009,7.14,10.67,-9.89,-2.11,1.05,-1.09
0,-1.61,7.41,-0.98,0.44,-0.26,0.4
0.109985,0.08,11.22,-3.88,0.06,-0.35,1.28
0.209991,1.37,14.36,-1.49,1.18,-0.76,1.01
0.309998,2.16,11.1,-6.35,0.28,-0.59,-0.24
0.410004,-0.2,1.22,0.86,-1.45,1,-0.78
0.519989,1.33,20.01,2.04,-0.36,-0.53,-1.38
0.619995,5.14,7.1,0.47,-1.77,-0.1,0.11
0.720001,1.18,0.59,-2.63,0.71,1.55,0.74
0.820007,10.24,11.06,-1.73,0.6,-1.91,0.62
0.919983,0.51,20.01,-4.98,1.37,0.93,2.46
1.019989,6.24,-5.73,-8.9,1.01,-3.91,-1.32
1.130005,6.16,-1.61,-10.12,-0.69,4.48,-0.24
1.230011,9.65,20.01,4.16,-1.61,-1.57,-1.26
1.329987,2.47,3.41,0.2,-0.88,1.29,-0.98
1.429993,-0.43,3.02,3.02,1.29,1.26,0.04
1.540009,12.94,8.98,13.14,0.36,-1.98,0.44
1.639984,0.75,6.59,-2.08,2.43,2.1,0.43
1.73999,5.73,-0.04,-8.39,0.51,0.15,-1.28
1.839996,3.37,-3.14,-2.47,-1.03,-0.83,-0.86
1.940002,6.59,12.32,-14.83,-1.24,-0.25,-0.52
2.049988,9.38,16.44,6.47,-1.61,0.61,-1.73
2.149994,2.28,-7.57,-9.61,-0.92,0.74,-0.36
2.25,5.65,7.45,-8.28,1.95,2.17,1.27
2.350006,8.43,20.01,4.71,-0.94,-0.89,-0.64
2.450012,2.82,18.99,-7.73,1.64,0.98,4.15
2.549988,1.37,-1.29,-3.02,-0.51,-1.94,-0.54
2.660004,7.26,-2.86,-3.8,-0.9,1.06,-0.87
2.76001,10.67,19.1,4.86,-1.19,0.34,-1.65
2.859985,3.61,4.12,-4.04,-2.12,0.15,-2.24
2.959991,4.31,-14.12,-2.43,1.2,0.77,0.02
3.059998,11.18,14.04,0.08,3.17,-0.42,0.51
3.169983,6.47,16.99,5.73,0.18,1.47,1.64
