NAME:,walk_121_4_1.csv,,,,,
EXPERIMENT TIME:,18/03/2024 16:48,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,110,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
33.707927,0.24,-10.28,11.57,0.34,-0.19,0.47
33.790187,7.06,-12.71,-0.35,-0.06,-0.16,-0.47
33.867861,2.2,-15.46,1.49,-1.22,2.37,0.37
33.98111,1.1,-4.47,1.53,0.01,0.81,-0.02
34.080903,0.27,-4.04,3.02,0.03,0.8,-0.46
34.209645,-2.59,-7.22,6.28,-0.45,-0.47,-0.46
34.292408,-1.41,-13.38,8.9,0.15,0.18,0.47
34.430421,1.45,-10.36,-0.16,0.46,0.3,-0.42
34.52398,2.51,-5.41,4.63,-0.03,-0.34,-0.15
34.599243,-1.69,-4.86,0.2,0.91,-1.94,0.53
34.720939,4.35,-3.45,1.96,-0.05,-0.79,0.48
34.814069,4.04,-11.92,10.32,0.51,-0.4,0.32
34.905442,7.96,-11.45,-1.96,0.02,0.21,-0.46
35.041545,0.67,-15.81,0.16,-1.44,2.52,0.49
35.124735,1.29,-4,2.24,-0.13,1.39,-0.01
35.208288,-0.63,-4.71,2.51,0,0.55,-0.39
35.329046,-2.63,-8.04,7.06,-0.57,-0.25,-0.5
35.429381,1.26,-12.71,12.12,-0.07,0.1,0.52
35.513527,5.73,-13.3,-2.9,-0.26,-1.07,-1.39
35.637405,1.92,-4.39,5.49,0.14,-0.68,-0.32
35.727574,-1.37,-4.24,-0.59,0.81,-1.72,0.4
35.822694,2.79,-4.59,4.94,-0.81,-0.16,0.55
35.955833,5.88,-11.38,9.1,0.52,-1.93,0.06
36.069796,5.3,-8.08,-1.73,-1.32,2.15,-0.11
36.20375,1.06,-13.65,1.14,-1.58,2.01,0.61
36.375821,1.61,-2.75,2.51,0.39,1.96,-0.28
36.496796,-2.2,-5.06,1.77,-0.15,0.14,-0.45
36.612582,1.77,-11.14,7.65,-0.5,-0.24,-0.41
36.728143,1.06,-13.22,8.08,0.8,0.45,0.26
36.862906,7.81,-11.49,-0.2,-0.42,-1.35,-0.95
36.957253,-1.92,-5.53,6.59,0.57,-1.37,-0.05
37.049336,2.39,-2.79,-0.39,0.77,-1.05,0.31
37.145837,1.33,-6.71,6.71,-0.87,-0.23,0.64
37.233419,2.31,-10.08,10.9,0.8,-2.15,0.23
37.372891,7.45,-8.67,1.49,-0.38,1.66,0.01
37.47462,1.37,-9.3,2.2,-0.94,1.3,0.52
