NAME:,walk_124_3_2,,,,,
EXPERIMENT TIME:,20/03/2024 10:32,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,96,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
58.859985,-0.04,9.02,1.73,-0.26,-1.16,-0.1
58.960083,0.12,9.77,2.79,-0.28,-0.38,-0.12
59.060059,3.26,13.3,0.63,0.26,0.28,-0.84
59.160034,0.47,6.9,1.1,-0.83,-0.07,-0.35
59.27002,1.88,9.3,1.06,0.48,-0.71,0.16
59.369995,0.67,9.53,1.22,0.24,-0.2,0.28
59.469971,0.35,8.79,1.65,0.28,0.15,0.38
59.570068,0.78,9.53,0.94,0.25,0.2,0.23
59.670044,0.82,10.12,2.71,0.15,-0.24,0.19
59.780029,1.88,11.61,1.41,0.8,0.93,-0.28
59.880005,3.37,10.32,-0.43,-0.02,-0.18,0.13
59.97998,3.57,10.79,0.78,-0.41,-0.31,-0.35
60.080078,1.57,9.3,1.88,-0.49,-0.24,-0.27
60.180054,0.39,8.67,1.84,-0.12,-0.33,-0.34
60.290039,-0.63,8.47,3.49,0.39,0.06,-0.02
60.390015,2.28,10.98,3.53,-0.15,-0.56,0
60.48999,1.33,13.45,3.61,0.15,0.7,-0.46
60.589966,0.78,8.39,-0.04,-0.12,-0.17,-0.18
60.690063,2.2,10.98,-0.12,0.07,-0.45,0.58
60.800049,0.16,9.77,0.78,0.48,0.2,0.35
60.900024,-0.04,9.41,0.39,0.5,0.07,0.18
61,0.63,9.65,-0.27,0.08,-0.37,0.23
61.099976,-0.16,11.38,2.75,0.32,0.47,0.27
61.200073,2.94,12.67,-2.9,0.42,-0.21,-0.32
61.310059,2.59,10.75,0.51,-0.17,-0.65,-0.25
61.410034,1.14,9.3,-0.55,-0.49,-0.66,-0.59
61.51001,0.71,8.9,0.98,-0.22,-1.32,-0.1
61.609985,-0.04,8.32,1.88,-0.04,-0.72,-0.04
61.710083,-0.55,9.73,1.49,-0.35,-0.81,-0.32
61.820068,-0.82,8.79,3.88,-0.44,-0.3,-0.27
61.920044,1.45,12.43,1.49,0.41,-0.47,-0.43
62.02002,1.14,8.43,-0.9,-0.1,-0.55,-0.21
62.119995,1.02,9.81,0.78,0.52,-0.59,0.34
62.430054,0.51,9.53,0.71,0.12,-0.2,0.15
62.530029,0.63,10.28,1.22,-0.02,-0.19,0.22
63.040039,1.22,10.47,0.55,-0.32,-2.13,-0.33
63.140015,0.55,8.24,0.51,-0.39,-1.95,-0.3
63.23999,-0.12,10.51,1.18,-0.4,-1.73,-0.39
63.349976,-0.04,10.55,2.75,-0.48,-1.32,-0.38
65.080078,2.2,7.1,-1.77,-0.28,0.77,-0.3
65.589966,-0.63,9.61,0.71,0.01,0.05,0.11
